medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,Sour Project Ale,Adirondack Pub and Brewery,Lake George,NY,Wood- and Barrel-Aged Sour Beer,2016,aged,49576,Northeast,New York,Middle Atlantic
Silver,Avant-Chard,Historic Brewing Co.,Flagstaff,AZ,Wood- and Barrel-Aged Sour Beer,2016,aged,113909,West,Arizona,Mountain
Bronze,Angelina,Brewery Vivant,Grand Rapids,MI,Wood- and Barrel-Aged Sour Beer,2016,aged,58216,North Central,Michigan,East North Central
Gold,Silent Warrior,TAPS Fish House and Brewery - Corona,Corona,CA,Wood- and Barrel-Aged Strong Beer,2016,aged,158693,West,California,Pacific
Silver,MC3==A9lange A Trois,Nebraska Brewing Co. - Papillion,Papillion,NE,Wood- and Barrel-Aged Strong Beer,2016,aged,77227,North Central,Nebraska,West North Central
Bronze,15th Anniversary Ale,Island Brewing Co.,Carpinteria,CA,Wood- and Barrel-Aged Strong Beer,2016,aged,158693,West,California,Pacific
Gold,Barrel-Aged Darkness,Surly Brewing Co.,Brooklyn Center,MN,Wood- and Barrel-Aged Strong Stout,2016,stout,84068,North Central,Minnesota,West North Central
Silver,The Event Horizon,Olde Hickory Brewery,Hickory,NC,Wood- and Barrel-Aged Strong Stout,2016,stout,52586,South,North Carolina,South Atlantic
Bronze,Little Nonsense,Verboten Brewing,Loveland,CO,Wood- and Barrel-Aged Strong Stout,2016,stout,104247,West,Colorado,Mountain
Gold,Big Deluxe,Ritual Brewing Co.,Redlands,CA,Aged Beer,2015,aged,158693,West,California,Pacific
Bronze,Old Diablo,Morgan Territory Brewing,Tracy,CA,Aged Beer,2015,aged,158693,West,California,Pacific
Bronze,Salad Days American Saison,Pale Fire Brewing Co.,Harrisonburg,VA,American-Belgo-Style Ale,2015,ale,40815,South,Virginia,South Atlantic
Gold,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,IN,American-Style Amber Lager,2015,lager,36291,North Central,Indiana,East North Central
Silver,Karbachtoberfest,Karbach Brewing Co.,Houston,TX,American-Style Amber Lager,2015,lager,267339,South,Texas,West South Central
Bronze,St. Florian's Brewery California Common,St. Florian's Brewery,Windsor,CA,American-Style Amber Lager,2015,lager,158693,West,California,Pacific
Gold,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,WA,American-Style Amber/Red Ale,2015,ale,68192,West,Washington,Pacific
Bronze,Sharkbite Red,Pizza Port Bressi Ranch,Carlsbad,CA,American-Style Amber/Red Ale,2015,ale,158693,West,California,Pacific
Gold,Midnight Moonlight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,American-Style Black Ale,2015,ale,41222,North Central,Ohio,East North Central
Silver,Singularity,Karl Strauss Brewing Co. - Costa Mesa,Costa Mesa,CA,American-Style Black Ale,2015,ale,158693,West,California,Pacific
Silver,Rapture Fusion Brown Ale,Rabbit Hole Brewing,Justin,TX,American-Style Brown Ale,2015,ale,267339,South,Texas,West South Central
Bronze,Restraint,Institution Ale Co.,Camarillo,CA,American-Style Brown Ale,2015,ale,158693,West,California,Pacific
Silver,Olympia,Pabst Brewing Co.,Los Angeles,CA,American-Style Cream Ale,2015,ale,158693,West,California,Pacific
Bronze,Nuff,Dale Bros Brewery,Upland,CA,American-Style Cream Ale,2015,ale,158693,West,California,Pacific
Gold,Lagerithm,Bottle Logic Brewing,Anaheim,CA,American-Style Dark Lager,2015,lager,158693,West,California,Pacific
Silver,Lighter Than I Look,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,American-Style Dark Lager,2015,lager,158693,West,California,Pacific
Gold,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,WY,American-Style Fruit Beer,2015,fruit,97914,West,Wyoming,Mountain
Silver,Rasplendent,Mazama Brewing Co.,Corvallis,OR,American-Style Fruit Beer,2015,fruit,96981,West,Oregon,Pacific
Bronze,Apricot Blonde,Dry Dock Brewing Co. - Production Facility,Aurora,CO,American-Style Fruit Beer,2015,fruit,104247,West,Colorado,Mountain
Gold,Revolver IPA,BNS Brewing & Distilling Co.,Santee,CA,American-Style India Pale Ale,2015,ale,158693,West,California,Pacific
Bronze,White Rajah,The Brew Kettle Taproom and Smokehouse,Strongsville,OH,American-Style India Pale Ale,2015,ale,41222,North Central,Ohio,East North Central
Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Light Lager,2015,lager,104247,West,Colorado,Mountain
Silver,Summer Siesta Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,American-Style Lager or Light Lager,2015,lager,104247,West,Colorado,Mountain
Bronze,Southern Girl Lager,Sycamore Brewing,Charlotte,NC,American-Style Lager or Light Lager,2015,lager,52586,South,North Carolina,South Atlantic
Bronze,Amend This!,TAPS Fish House & Brewery - Brea,Brea,CA,American-Style or International-Style Pilsener,2015,pilsener,158693,West,California,Pacific
Gold,Monterey St. Pale Ale,Central Coast Brewing Co.,San Luis Obispo,CA,American-Style Pale Ale,2015,ale,158693,West,California,Pacific
Silver,Hoppy Palm,Track 7 Brewing Co. - Natomas,Sacramento,CA,American-Style Pale Ale,2015,ale,158693,West,California,Pacific
Bronze,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2015,ale,104247,West,Colorado,Mountain
Gold,Savant Blanc,Perennial Artisan Ales,Saint Louis,MO,American-Style Sour Ale,2015,ale,69686,North Central,Missouri,West North Central
Silver,Ensorcelled,The Rare Barrel,Berkeley,CA,American-Style Sour Ale,2015,ale,158693,West,California,Pacific
Bronze,Apropos of Nothing,The Rare Barrel,Berkeley,CA,American-Style Sour Ale,2015,ale,158693,West,California,Pacific
Gold,Disorder Stout,Barley Brown's Brewpub,Baker City,OR,American-Style Stout,2015,stout,96981,West,Oregon,Pacific
Silver,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2015,stout,83557,West,Idaho,Mountain
Bronze,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2015,stout,96981,West,Oregon,Pacific
Gold,Ratchet Strap IPA,Barley Brown's Beer,Baker City,OR,American-Style Strong Pale Ale,2015,ale,96981,West,Oregon,Pacific
Silver,Via Chicago,CODA Brewing Co.,Aurora,CO,American-Style Strong Pale Ale,2015,ale,104247,West,Colorado,Mountain
Bronze,3C India Pale Ale,Triple C Brewing,Charlotte,NC,American-Style Strong Pale Ale,2015,ale,52586,South,North Carolina,South Atlantic
Gold,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,CO,American-Style Wheat Beer,2015,wheat,104247,West,Colorado,Mountain
Silver,Whacked Out Wheat,Telluride Brewing Co.,Telluride,CO,American-Style Wheat Beer,2015,wheat,104247,West,Colorado,Mountain
Gold,The Big O,O'so Brewing,Plover,WI,American-Style Wheat Beer With Yeast,2015,wheat,56154,North Central,Wisconsin,East North Central
Silver,WeldWerks Hefeweizen,WeldWerks Brewing Co.,Greeley,CO,American-Style Wheat Beer With Yeast,2015,wheat,104247,West,Colorado,Mountain
Gold,Cobaltic Porter,Bottle Logic Brewing,Anaheim,CA,Baltic-Style Porter,2015,porter,158693,West,California,Pacific
Silver,Double Porter,Bemidji Brewing Co.,Bemidji,MN,Baltic-Style Porter,2015,porter,84068,North Central,Minnesota,West North Central
Bronze,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery,Farmville,NC,Baltic-Style Porter,2015,porter,52586,South,North Carolina,South Atlantic
Gold,Fat Hog,Ritual Brewing Co.,Redlands,CA,Barley Wine-Style Ale,2015,ale,158693,West,California,Pacific
Silver,Statik,Brewery Rickoli,Wheat Ridge,CO,Barley Wine-Style Ale,2015,ale,104247,West,Colorado,Mountain
Bronze,Old Skook,Three Magnets Brewing,Olympia,WA,Barley Wine-Style Ale,2015,ale,68192,West,Washington,Pacific
Gold,Vintage Monks,Adelbert's Brewery,Austin,TX,Belgian- and French-Style Ale,2015,ale,267339,South,Texas,West South Central
Silver,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2015,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Petite Classique,The Commons Brewery,Portland,OR,Belgian- and French-Style Ale,2015,ale,96981,West,Oregon,Pacific
Gold,Bear Hair,Logboat Brewing Co.,Columbia,MO,Belgian-Style Blonde Ale or Pale Ale,2015,ale,69686,North Central,Missouri,West North Central
Silver,Bleek Worden,Prison City Brewing,Auburn,NY,Belgian-Style Blonde Ale or Pale Ale,2015,ale,49576,Northeast,New York,Middle Atlantic
Bronze,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL,Belgian-Style Blonde Ale or Pale Ale,2015,ale,58560,South,Florida,South Atlantic
Gold,Sanitarium,Bier Brewery and Taproom,Indianapolis,IN,Belgian-Style Dubbel or Quadruple,2015,other,36291,North Central,Indiana,East North Central
Silver,Dubbel Entendre,River's Edge Brewing Co.,Milford,MI,Belgian-Style Dubbel or Quadruple,2015,other,58216,North Central,Michigan,East North Central
Bronze,Qualified,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Dubbel or Quadruple,2015,other,36291,North Central,Indiana,East North Central
Silver,Kumquat Saison,Smog City Brewing,Torrance,CA,Belgian-Style Fruit Beer,2015,fruit,158693,West,California,Pacific
Gold,"Turbulent Consequence, Peche",Block 15,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2015,ale,96981,West,Oregon,Pacific
Silver,Feral One,Firestone Walker Barrelworks,Buellton,CA,Belgian-Style Lambic or Sour Ale,2015,ale,158693,West,California,Pacific
Bronze,Viejo Rojo,Tahoe Mountain Brewing Co. - Truckee,Truckee,CA,Belgian-Style Lambic or Sour Ale,2015,ale,158693,West,California,Pacific
Gold,Wild West Tripel,Chicago Brewing Co. - NV,Las Vegas,NV,Belgian-Style Tripel,2015,other,110540,West,Nevada,Mountain
Silver,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Tripel,2015,other,33215,Northeast,Maine,New England
Bronze,Millennium Trippel,Church Brew Works - Lawrenceville Brewery,Pittsburgh,PA,Belgian-Style Tripel,2015,other,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,White Rascal,Avery Brewing Co.,Boulder,CO,Belgian-Style Witbier,2015,witbier,104247,West,Colorado,Mountain
Bronze,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Belgian-Style Witbier,2015,witbier,40815,South,Virginia,South Atlantic
Silver,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,Bock,2015,bock,56400,North Central,Illinois,East North Central
Gold,Shower Beer,Champion Brewing Co.,Charlottesville,VA,Bohemian-Style Pilsener,2015,pilsener,40815,South,Virginia,South Atlantic
Silver,Bohemian Pilsner,von Trapp Brewing,Stowe,VT,Bohemian-Style Pilsener,2015,pilsener,9609,Northeast,Vermont,New England
Bronze,Peacemaker Pilsner,Pug Ryan's Brewing Co.,Dillon,CO,Bohemian-Style Pilsener,2015,pilsener,104247,West,Colorado,Mountain
Gold,(512) Wild Bear,(512) Brewing Co.,Austin,TX,Brett Beer,2015,other,267339,South,Texas,West South Central
Silver,Red Swingline IPA Primitif,Trinity Brewing,Colorado Springs,CO,Brett Beer,2015,other,104247,West,Colorado,Mountain
Bronze,2015 Golden Ale,New Glarus Brewing Co. - Hilltop,New Glarus,WI,Brett Beer,2015,other,56154,North Central,Wisconsin,East North Central
Silver,Peter Brown Tribute Ale,Bear Republic Brewing Co. - Factory 5,Cloverdale,CA,Brown Porter,2015,porter,158693,West,California,Pacific
Bronze,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Brown Porter,2015,porter,104247,West,Colorado,Mountain
Silver,Heir Apparent,Lickinghole Creek Craft Brewery,Goochland,VA,Chili Beer,2015,other,40815,South,Virginia,South Atlantic
Bronze,Ballast Point Pale Ale with Serrano,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,Chili Beer,2015,other,158693,West,California,Pacific
Gold,The Velvet Hog,TAPS Fish House & Brewery - Corona,Corona,CA,Chocolate Beer,2015,flavored,158693,West,California,Pacific
Silver,El Toro Coco Chocolate Stout,El Toro Brewing Co.,Morgan Hill,CA,Chocolate Beer,2015,flavored,158693,West,California,Pacific
Bronze,Wonka Bar,Mispillion River Brewing,Milford,DE,Chocolate Beer,2015,flavored,2057,South,Delaware,South Atlantic
Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,CA,Classic English-Style Pale Ale,2015,ale,158693,West,California,Pacific
Silver,India Pale Ale,Arcadia Brewing Co.,Kalamazoo,MI,Classic English-Style Pale Ale,2015,ale,58216,North Central,Michigan,East North Central
Bronze,PBW Pale Ale,Paducah Beer Werks,Paducah,KY,Classic English-Style Pale Ale,2015,ale,40395,South,Kentucky,East South Central
Gold,Stearns Stout,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,Classic Irish-Style Dry Stout,2015,stout,158693,West,California,Pacific
Silver,Dragoon's Dry Irish Stout,Moylan's Brewery & Restaurant,Novato,CA,Classic Irish-Style Dry Stout,2015,stout,158693,West,California,Pacific
Bronze,Dry Stout,Reuben's Brews,Seattle,WA,Classic Irish-Style Dry Stout,2015,stout,68192,West,Washington,Pacific
Gold,Zumbar Chocolate Coffee Imperial Stout,New English Brewing Co.,San Diego,CA,Coffee Beer,2015,flavored,158693,West,California,Pacific
Silver,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Coffee Beer,2015,flavored,158693,West,California,Pacific
Bronze,Bacon and Eggs,Pizza Port Ocean Beach,San Diego,CA,Coffee Beer,2015,flavored,158693,West,California,Pacific
Silver,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua Kona,HI,Dortmunder or German-Style Oktoberfest,2015,other german-style,6450,West,Hawaii,Pacific
Bronze,Helles Lager,Lucky Envelope Brewing,Seattle,WA,Dortmunder or German-Style Oktoberfest,2015,other german-style,68192,West,Washington,Pacific
Gold,Bone Head Imperial Red,Fat Head's Brewery,Middleburg Heights,OH,Double Red Ale,2015,ale,41222,North Central,Ohio,East North Central
Silver,Toaster Pastry,21st Amendment Brewery,San Leandro,CA,Double Red Ale,2015,ale,158693,West,California,Pacific
Bronze,GRAMBO,Pizza Port Solana Beach,Solana Beach,CA,Double Red Ale,2015,ale,158693,West,California,Pacific
Gold,Red Hydrant Ale,Big Dog's Brewing Co.,Las Vegas,NV,English-Style Brown Ale,2015,ale,110540,West,Nevada,Mountain
Bronze,Rogue River Brown,"Rockford Brewing Co. - Rockford, Michigan",Rockford,MI,English-Style Brown Ale,2015,ale,58216,North Central,Michigan,East North Central
Gold,Shanghai'd IPA,Old Town Brewing,Portland,OR,English-Style India Pale Ale,2015,ale,96981,West,Oregon,Pacific
Bronze,Hammersmith IPA,Firestone Walker Brewing Co.,Paso Robles,CA,English-Style India Pale Ale,2015,ale,158693,West,California,Pacific
Gold,Mild,Brothers Craft Brewing,Harrisonburg,VA,English-Style Mild Ale,2015,ale,40815,South,Virginia,South Atlantic
Bronze,Mamoot,Logboat Brewing Co.,Columbia,MO,English-Style Mild Ale,2015,ale,69686,North Central,Missouri,West North Central
Gold,Beaverton Blonde,Golden Valley Brewery and Pub,McMinnville,OR,English-Style Summer Ale,2015,ale,96981,West,Oregon,Pacific
Bronze,Lonely Blonde,Fulton Beer,Minneapolis,MN,English-Style Summer Ale,2015,ale,84068,North Central,Minnesota,West North Central
Gold,Gigi,Exile Brewing,Des Moines,IA,European-Style Dark/MC3=BCnchner Dunkel,2015,other,56290,North Central,Iowa,West North Central
Silver,Fearless Youth,Grimm Brothers Brewhouse,Loveland,CO,European-Style Dark/MC3=BCnchn=er Dunkel,2015,other,104247,West,Colorado,Mountain
Bronze,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,European-Style Dark/M=C3=BCnchner Dunkel,2015,other,68192,West,Washington,Pacific
Silver,Melt My Brain,Short's Brewing Co.,Elk Rapids,MI,Experimental Beer,2015,other,58216,North Central,Michigan,East North Central
Bronze,Ramjet,Black Project Spontaneous & Wild Ales,Denver,CO,Experimental Beer,2015,other,104247,West,Colorado,Mountain
Gold,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Export Stout,2015,stout,104247,West,Colorado,Mountain
Gold,The Guilty Party,Gibb's Hundred Brewing Co.,Greensboro,NC,Extra Special Bitter,2015,bitter,52586,South,North Carolina,South Atlantic
Silver,14C2=B0 ESB,Bent Paddle Brewing Co.,Duluth,MN,Extra Special Bitter,2015,bitter,84068,North Central,Minnesota,West North Central
Bronze,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ,Extra Special Bitter,2015,bitter,7836,Northeast,New Jersey,Middle Atlantic
Gold,"Beets, Rhymes and Life",Fonta Flora Brewery,Morganton,NC,Field Beer,2015,other,52586,South,North Carolina,South Atlantic
Silver,Window Seat Coconut Almond Porter,Baxter Brewing Co.,Auburn,ME,Field Beer,2015,other,33215,Northeast,Maine,New England
Gold,Siren's Lure,Fair Winds Brewing Co.,Lorton,VA,French- and Belgian-Style Saison,2015,saison,40815,South,Virginia,South Atlantic
Silver,Daily Wages,Brasserie Saint James,Reno,NV,French- and Belgian-Style Saison,2015,saison,110540,West,Nevada,Mountain
Bronze,Saison,URBN St. Brewing Co.,El Cajon,CA,French- and Belgian-Style Saison,2015,saison,158693,West,California,Pacific
Gold,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh or Wet Hop Ale,2015,ale,121666,West,New Mexico,Mountain
Bronze,Melvin IPA,Melvin Brewing,Jackson,WY,Fresh or Wet Hop Ale,2015,ale,97914,West,Wyoming,Mountain
Silver,"You're My Boy, Blue!",Brew Bus Brewing,Tampa,FL,Fruit Wheat Beer,2015,wheat,58560,South,Florida,South Atlantic
Bronze,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2015,wheat,56400,North Central,Illinois,East North Central
Gold,Copper Alt,Zipline Brewing Co.,Lincoln,NE,German-Style Altbier,2015,altbier,77227,North Central,Nebraska,West North Central
Bronze,Altbier,Liquid Mechanics Brewing Co.,Lafayette,CO,German-Style Altbier,2015,altbier,104247,West,Colorado,Mountain
Bronze,Hot for Teacher Ms. Doppelbock,Thr3e Wise Men Brewing Co.,Indianapolis,IN,German-Style Doppelbock or Eisbock,2015,bock,36291,North Central,Indiana,East North Central
Silver,Colorado KC3=B6lsch,Steamworks Brewing Co.,Durango,CO,German-Style KC3=B6lsch,2015,other german-style,104247,West,Colorado,Mountain
Bronze,Friar Chuck,Black Bottle Brewery,Fort Collins,CO,German-Style KC3=B6lsch,2015,other german-style,104247,West,Colorado,Mountain
Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style MC3=A4rzen,2015,other german-style,267339,South,Texas,West South Central
Silver,Antonius 1742 Oktoberfest,Thr3e Wise Men Brewing Co.,Indianapolis,IN,German-Style MC3=A4rzen,2015,other german-style,36291,North Central,Indiana,East North Central
Bronze,Duck-Rabbit MC3=A4rzen,Duck-Rabbit Craft Brewery,Farmville,NC,German-Style MC3==A4rzen,2015,other german-style,52586,South,North Carolina,South Atlantic
Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2015,pilsener,158693,West,California,Pacific
Bronze,Pilsner,Dry Dock Brewing Co.,Aurora,CO,German-Style Pilsener,2015,pilsener,104247,West,Colorado,Mountain
Gold,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,TX,German-Style Schwarzbier,2015,schwarzbier,267339,South,Texas,West South Central
Silver,Black Knight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,German-Style Schwarzbier,2015,schwarzbier,41222,North Central,Ohio,East North Central
Bronze,Eastside,Lakefront Brewery,Milwaukee,WI,German-Style Schwarzbier,2015,schwarzbier,56154,North Central,Wisconsin,East North Central
Gold,Gose,Reuben's Brews Taproom,Seattle,WA,German-Style Sour Ale,2015,ale,68192,West,Washington,Pacific
Bronze,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,German-Style Sour Ale,2015,ale,96981,West,Oregon,Pacific
Gold,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2015,ale,267339,South,Texas,West South Central
Silver,Weizenbock,Kansas City Bier Co.,Kansas City,MO,German-Style Wheat Ale,2015,ale,69686,North Central,Missouri,West North Central
Bronze,Monkey Business,New Bohemia Brewing Co.,Santa Cruz,CA,German-Style Wheat Ale,2015,ale,158693,West,California,Pacific
Bronze,Ghostfish Grapefruit IPA,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2015,other,68192,West,Washington,Pacific
